| age_category | gender | dependent_count | education     | marital  | income_category | card_category | years_on_book | total_relationship_count | months_inactive_12_mon | contacts_count_12_mon | credit_limit | total_revolving_bal | avg_open_to_buy | total_trans_amt | total_trans_ct | avg_utilization_ratio |
| 40s          | M      | 2               | Uneducated    | Married  | $80K - $120K    | Blue          | 3 - 4         | 1                        | 3                      | 3                     | 5701         | 2517                | 3184            | 961             | 32             | 0,44                  |
| 40s          | F      | 3               | High School   | Single   | Unknown         | Blue          | 2 - 3         | 4                        | 3                      | 3                     | 29543        | 1164                | 28379           | 1015            | 27             | 0,04                  |
| 50s          | F      | 0               | High School   | Married  | Less than $40K  | Blue          | 2 - 3         | 3                        | 2                      | 2                     | 7418         | 396                 | 7022            | 911             | 26             | 0,05                  |
| 40s          | M      | 4               | Graduate      | Single   | $80K - $120K    | Silver        | 1 - 2         | 3                        | 1                      | 3                     | 34516        | 0                   | 34516           | 1028            | 26             | 0                     |
| 50s          | M      | 3               | Graduate      | Single   | $60K - $80K     | Blue          | 2 - 3         | 2                        | 2                      | 3                     | 4742         | 855                 | 3887            | 870             | 24             | 0,18                  |
| 40s          | F      | 3               | High School   | Married  | $40K - $60K     | Blue          | 2 - 3         | 5                        | 2                      | 2                     | 12355        | 0                   | 12355           | 1044            | 28             | 0                     |
| 30s          | F      | 2               | Unknown       | Married  | Unknown         | Blue          | 1 - 2         | 3                        | 1                      | 2                     | 8149         | 0                   | 8149            | 808             | 30             | 0                     |
| 40s          | M      | 3               | Uneducated    | Married  | $80K - $120K    | Blue          | 2 - 3         | 3                        | 2                      | 3                     | 3616         | 1151                | 2465            | 820             | 21             | 0,32                  |
| 50s          | M      | 3               | Graduate      | Married  | $120K +         | Blue          | 2 - 3         | 5                        | 1                      | 1                     | 12211        | 0                   | 12211           | 903             | 29             | 0                     |
| 50s          | F      | 2               | College       | Married  | $40K - $60K     | Blue          | 3 - 4         | 3                        | 1                      | 3                     | 4882         | 695                 | 4187            | 1544            | 44             | 0,14                  |
| 40s          | M      | 3               | Graduate      | Single   | $60K - $80K     | Blue          | 2 - 3         | 2                        | 3                      | 2                     | 13162        | 0                   | 13162           | 1424            | 38             | 0                     |
| 30s          | F      | 3               | Graduate      | Unknown  | Unknown         | Blue          | 1 - 2         | 2                        | 3                      | 2                     | 5674         | 0                   | 5674            | 1096            | 29             | 0                     |
| 40s          | F      | 5               | High School   | Married  | Unknown         | Blue          | 2 - 3         | 3                        | 1                      | 4                     | 3578         | 0                   | 3578            | 1015            | 36             | 0                     |
| 50s          | M      | 2               | Graduate      | Married  | $120K +         | Blue          | 2 - 3         | 1                        | 3                      | 2                     | 12778        | 507                 | 12271           | 1133            | 28             | 0,04                  |
| 30s          | F      | 3               | Graduate      | Single   | Less than $40K  | Blue          | 1 - 2         | 1                        | 2                      | 1                     | 1890         | 666                 | 1224            | 1483            | 36             | 0,35                  |
| 40s          | M      | 1               | Post-Graduate | Married  | $60K - $80K     | Blue          | 2 - 3         | 6                        | 3                      | 4                     | 18386        | 890                 | 17496           | 1698            | 43             | 0,05                  |
| 30s          | M      | 1               | Post-Graduate | Divorced | Less than $40K  | Blue          | 2 - 3         | 6                        | 2                      | 4                     | 5061         | 0                   | 5061            | 1309            | 38             | 0                     |
| 50s          | F      | 1               | Post-Graduate | Single   | $40K - $60K     | Blue          | 3 - 4         | 1                        | 3                      | 3                     | 1493         | 932                 | 561             | 1554            | 43             | 0,62                  |
| 40s          | F      | 3               | Graduate      | Single   | Less than $40K  | Blue          | 3 - 4         | 5                        | 2                      | 4                     | 4075         | 1986                | 2089            | 2449            | 27             | 0,49                  |
| 50s          | M      | 0               | Unknown       | Single   | $40K - $60K     | Blue          | 3 - 4         | 3                        | 1                      | 3                     | 3421         | 2517                | 904             | 992             | 21             | 0,74                  |
| 50s          | F      | 3               | College       | Single   | Unknown         | Blue          | 4 - 5         | 6                        | 2                      | 3                     | 13184        | 0                   | 13184           | 2047            | 33             | 0                     |
